light,uv,temp,humidity,acceleration
231,0,25.00,32.00,0
238,0,25.00,32.00,0
238,0,25.00,32.00,0
238,0,25.00,32.00,0
239,0,25.00,32.00,0
238,0,25.00,32.00,0
238,0,25.00,32.00,0
238,0,25.00,32.00,0
238,0,25.00,32.00,0
239,0,25.00,32.00,0
238,0,25.00,32.00,0
238,0,25.00,32.00,0
238,0,25.00,32.00,0
238,0,25.00,32.00,0
239,0,25.00,32.00,0
239,0,25.00,32.00,0
241,0,25.00,32.00,0
240,0,25.00,32.00,0
240,0,25.00,32.00,0
241,0,25.00,32.00,0
241,0,25.00,32.00,0
240,0,25.00,32.00,0
240,0,25.00,32.00,0
240,0,25.00,32.00,0
241,0,25.00,32.00,0
241,0,25.00,32.00,0
241,0,25.00,32.00,0
240,0,25.00,32.00,0
240,0,25.00,32.00,0
241,0,25.00,32.00,0
241,0,25.00,32.00,0
240,0,25.00,32.00,0
237,0,25.00,32.00,0
238,0,25.00,32.00,0
240,0,25.00,32.00,0
240,0,25.00,32.00,0
239,0,25.00,32.00,0
238,0,25.00,32.00,0
237,0,25.00,32.00,0
238,0,25.00,32.00,0
239,0,25.00,32.00,0
239,0,25.00,32.00,0
239,0,25.00,32.00,0
239,0,25.00,32.00,0
240,0,25.00,32.00,0
241,0,25.00,32.00,0
239,0,25.00,32.00,0
237,0,25.00,32.00,0
238,0,25.00,32.00,0
238,0,25.00,32.00,0
239,0,25.00,32.00,0
233,0,25.00,32.00,0
233,0,25.00,32.00,0
233,0,25.00,32.00,0
233,0,25.00,32.00,0
234,0,25.00,32.00,0
234,0,25.00,32.00,0
234,0,25.00,32.00,0
233,0,25.00,32.00,0
233,0,25.00,32.00,0
212,0,25.00,32.00,0
