light,uv,temp,humidity,acceleration
745,9,28.00,31.00,0
748,9,28.00,31.00,0
754,16,28.00,31.00,0
754,16,28.00,31.00,0
753,16,28.00,31.00,0
751,16,28.00,31.00,0
750,15,28.00,31.00,0
750,13,28.00,31.00,0
750,15,28.00,31.00,0
751,13,28.00,31.00,0
751,16,28.00,31.00,0
752,13,28.00,31.00,0
753,14,28.00,31.00,0
752,17,28.00,31.00,0
752,16,28.00,31.00,0
751,18,28.00,31.00,0
751,15,28.00,31.00,0
750,14,28.00,31.00,0
751,15,28.00,31.00,0
752,15,28.00,31.00,0
753,14,28.00,31.00,0
750,16,28.00,31.00,0
750,14,28.00,31.00,0
751,16,28.00,31.00,0
752,17,28.00,31.00,0
749,14,28.00,31.00,0
751,18,28.00,31.00,0
751,17,28.00,31.00,0
751,17,28.00,31.00,0
749,13,28.00,31.00,0
749,16,29.00,30.00,0
751,13,29.00,30.00,0
752,13,29.00,30.00,0
750,14,29.00,30.00,0
751,14,29.00,30.00,0
750,14,29.00,30.00,0
751,13,29.00,30.00,0
750,14,29.00,30.00,0
751,13,29.00,30.00,0
747,14,29.00,30.00,0
748,12,29.00,30.00,0
747,14,29.00,30.00,0
748,12,29.00,30.00,0
748,14,29.00,30.00,0
747,15,29.00,30.00,0
747,12,29.00,30.00,0
744,9,29.00,30.00,0
737,7,29.00,30.00,0
