light,uv,temp,humidity
913,1,26.00,32.00
913,1,26.00,32.00
914,3,27.00,31.00
914,3,27.00,31.00
914,3,27.00,31.00
915,2,27.00,31.00
915,2,27.00,31.00
915,1,27.00,31.00
915,2,27.00,31.00
915,2,27.00,31.00
915,2,27.00,31.00
915,2,27.00,31.00
915,2,27.00,31.00
915,2,27.00,31.00
915,1,28.00,31.00
915,2,28.00,31.00
915,3,28.00,31.00
915,2,28.00,31.00
915,2,28.00,31.00
915,2,28.00,31.00
915,1,28.00,31.00
915,1,28.00,31.00
915,2,28.00,31.00
914,2,28.00,31.00
915,2,28.00,31.00
914,2,28.00,31.00
915,2,28.00,31.00
915,2,28.00,31.00
916,8,28.00,31.00
906,3,28.00,31.00
756,4,28.00,31.00
757,6,28.00,31.00
738,5,28.00,31.00
768,6,28.00,31.00
752,6,28.00,31.00
738,6,28.00,31.00
745,6,28.00,31.00
745,6,28.00,31.00
746,4,28.00,31.00
744,6,28.00,31.00
744,5,28.00,31.00
897,4,28.00,31.00
