light,uv,temp,humidity,acceleration
236,0,25.00,32.00,0
307,0,26.00,32.00,0
192,0,26.00,32.00,0
302,0,26.00,32.00,0
317,0,26.00,32.00,0
204,0,26.00,32.00,0
326,0,26.00,32.00,0
321,0,26.00,32.00,0
200,0,26.00,32.00,0
328,0,26.00,32.00,0
301,0,26.00,32.00,0
239,0,26.00,32.00,0
354,0,26.00,32.00,0
287,0,25.00,32.00,0
306,0,25.00,32.00,0
360,0,26.00,32.00,0
220,0,26.00,32.00,0
337,0,26.00,32.00,0
305,0,26.00,32.00,0
204,0,26.00,32.00,0
355,0,26.00,32.00,0
335,0,25.00,32.00,0
154,0,25.00,32.00,0
272,0,25.00,32.00,0
354,0,25.00,32.00,0
253,0,25.00,32.00,0
243,0,25.00,32.00,0
283,0,25.00,32.00,0
261,0,25.00,32.00,0
252,0,25.00,32.00,0
237,0,25.00,32.00,0
257,0,26.00,32.00,0
226,0,26.00,32.00,0
236,0,25.00,32.00,0
201,0,25.00,32.00,0
355,0,25.00,32.00,0
412,0,25.00,32.00,0
406,0,25.00,32.00,0
343,0,25.00,32.00,0
311,0,25.00,32.00,0
338,0,25.00,32.00,0
284,0,25.00,32.00,0
327,0,25.00,32.00,0
337,0,25.00,32.00,0
317,0,25.00,32.00,0
